nanyangSiteId,siteNameZh,siteNameEn,Y,X
"cca-kd-0001","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",1.284811,103.848835
"cca-kd-0002","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",1.279203,103.84238
"cca-kd-0003","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",1.284811,103.848835
"cca-kd-0004","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",1.287034,103.840813
"cca-kd-0005","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",1.299068,103.855328
"cca-kd-0006","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",1.283466,103.847874
"cca-kd-0007","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",1.281705,103.846266
"cca-kd-0008","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",1.314959,103.885569
"cca-kd-0009","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.28584,103.843964
"cca-kd-0010","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.278506,103.844035
"cca-kd-0011","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.316086,103.858495
"cca-kd-0012","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.31239,103.858861
"cca-kd-0013","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.314698,103.885595
"cca-kd-0014","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.311735,103.878815
"cca-kd-0015","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",1.314698,103.885595
"cca-kd-0016","（新加坡）曾邱公会","SINGAPORE CHAN KHOO KONG HUAY",1.290532,103.846455
"cca-kd-0017","（新加坡）曾邱公会","SINGAPORE CHAN KHOO KONG HUAY",1.305634,103.863909
"cca-kd-0018","（新加坡）曾邱公会","SINGAPORE CHAN KHOO KONG HUAY",1.315238,103.885593
"cca-kd-0019","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",1.278766,103.843498
"cca-kd-0020","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",1.293833,103.842644
"cca-kd-0021","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",1.272195,103.806236
"cca-kd-0022","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",1.313346,103.878618
"cca-kd-0023","（新加坡）永春会馆","ENG CHOON HWAY KUAN (SINGAPORE)",1.29751,103.856724
"cca-kd-0024","(新加坡)永春会馆","ENG CHOON HWAY KUAN (SINGAPORE)",1.281824,103.847392
"cca-kd-0025","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",1.282085,103.847503
"cca-kd-0026","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",1.280981,103.849436
"cca-kd-0027","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",1.293833,103.842644
"cca-kd-0028","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",1.272195,103.806236
"cca-kd-0029","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",1.293615,103.849514
"cca-kd-0030","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",1.284646,103.847554
"cca-kd-0031","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",1.315336,103.888314
"cca-kd-0032","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",1.313134,103.878664
"cca-kd-0033","南安会馆, 新加坡南安会馆","SINGAPORE LAM ANN ASSOCIATION",1.281216,103.84582
"cca-kd-0034","南安会馆, 新加坡南安会馆","SINGAPORE LAM ANN ASSOCIATION",1.292843,103.840955
"cca-kd-0035","符氏社, 符氏社(祖祠）","FOO CLAN ASSOCIATION // FOO TEE TAY (CLAN TEMPLE)",1.297284,103.85527
"cca-kd-0036","符氏社, 符氏社(祖祠）","FOO CLAN ASSOCIATION // FOO TEE TAY (CLAN TEMPLE)",1.311714,103.883918
"cca-kd-0037","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",1.293369,103.850499
"cca-kd-0038","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",1.293615,103.849514
"cca-kd-0039","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",1.304223,103.837714
"cca-kd-0040","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",1.31173,103.882473
"cca-kd-0041","浯卿陈氏公会","GNOH KENG TAN SI ASSOCIATION // WUQING CHEN'S ASSOCIATION",1.302383,103.861504
"cca-kd-0042","浯卿陈氏公会","GNOH KENG TAN SI ASSOCIATION // WUQING CHEN'S ASSOCIATION",1.311526,103.880514
"cca-kd-0043","三水会馆","SAM SUI WUI KUN",1.286922,103.847425
"cca-kd-0044","三水会馆","SAM SUI WUI KUN",1.283707,103.845619
"cca-kd-0045","三水会馆","SAM SUI WUI KUN",1.284153,103.844868
"cca-kd-0046","三水会馆","SAM SUI WUI KUN",1.312386,103.881788
"cca-kd-0047","三江会馆","SAM KIANG HUAY KWAN",1.326902,103.851602
"cca-kd-0048","三江会馆","SAM KIANG HUAY KWAN",1.298402,103.835357
"cca-kd-0049","三江会馆","SAM KIANG HUAY KWAN",1.301974,103.848456
"cca-kd-0050","东安渡头联谊社","TONG ANN TOR TOW LIAN NGEE SIA",1.284149,103.845704
"cca-kd-0051","东山励志社","TONG SAN LEE CHEE SIA",1.313989,103.889876
"cca-kd-0052","东张镇同乡会","TUNG CHIANG CHUN CLAN",1.314,103.879309
"cca-kd-0053","东陵琼崖同乡会","TANGLIN HENG JOW TANG YEO WEE",1.311756,103.794691
"cca-kd-0054","东陵琼崖同乡会","TANGLIN HENG JOW TANG YEO WEE",1.31197,103.794365
"cca-kd-0055","星洲中山古镇同乡会","SENG CHOW CHUNG SAN KOO CHAN THONG HIONG WUI",1.309353,103.855052
"cca-kd-0056",,"SINGAPORE CHUNG SAAN CHP PO THUNG HEUNG WAI",1.309759,103.856699
"cca-kd-0057","新加坡海洲会馆","HOU CHOW WUI KWUN",1.281583,103.845424
"cca-kd-0058","新加坡中山榄镇同乡会","SINGAPORE CHUNG SAN LAM CHAN THUNG HIONG WUI",1.277874,103.842066
"cca-kd-0059","丰顺会馆","FOONG SHOON FUI KUAN",1.302383,103.861504
"cca-kd-0060","丰顺会馆","FOONG SHOON FUI KUAN",1.312685,103.885941
"cca-kd-0061","丰顺会馆","FOONG SHOON FUI KUAN",1.313476,103.886735
"cca-kd-0062","义安公司","NGEE ANN KONGSI",1.295135,103.843436
"cca-kd-0063","新加坡云氏公会","SINGAPORE HOON CLAN ASSOCIATION",1.296809,103.853601
"cca-kd-0064",,"TIEN LIM CO-VILLAGERS ASSOCIATION",1.312529,103.855138
"cca-kd-0065","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",1.299068,103.855328
"cca-kd-0066","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",1.301857,103.851832
"cca-kd-0067","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",1.312515,103.886074
"cca-kd-0068","兴安会馆","HIN ANN HUAY KUAN",1.300894,103.85488
"cca-kd-0069","兴安会馆","HIN ANN HUAY KUAN",1.300197,103.852975
"cca-kd-0070","兴安会馆","HIN ANN HUAY KUAN",1.306763,103.850947
"cca-kd-0071","兴安会馆","HIN ANN HUAY KUAN",1.309509,103.85652
"cca-kd-0072","冈州会馆","KONG CHOW WUI KOON",1.283525,103.846866
"cca-kd-0073","冈州会馆","KONG CHOW WUI KOON",1.280956,103.841049
"cca-kd-0074","冯氏总会","FONG CLAN GENERAL ASSOCIATION",1.30934,103.857117
"cca-kd-0075","冯氏总会","FONG CLAN GENERAL ASSOCIATION",1.279048,103.842241
"cca-kd-0076","冯氏总会","FONG CLAN GENERAL ASSOCIATION",1.314175,103.857544
"cca-kd-0077","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",1.281782,103.848006
"cca-kd-0078","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",1.279251,103.848416
"cca-kd-0079","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",1.312465,103.883855
"cca-kd-0080","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.30678,103.856784
"cca-kd-0081","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.283525,103.846866
"cca-kd-0082","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.290311,103.845561
"cca-kd-0083","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",1.328058,103.866312
"cca-kd-0084","南安罗溪公所","LAM ANN LOH KHOE ASSOCIATION",1.290857,103.845407
