"nanyangSiteId","siteNameZh","siteNameEn","Y","X"
"sct-kd-001","阿樂佳佛教中心","Aloka Buddhist Centre",1.3124687182,103.8824302
"sct-kd-002","阿彌陀佛佛教中心","Amitabha Buddhist Centre",1.3148358169,103.8832745
"sct-kd-003","阿難陀泰佛寺","Wat Ananda Metyarama Thai Buddhist Temple",1.278314567,103.8291827
"sct-kd-004","愛道小苑","Aidao Xiaoyuan",1.3135845954,103.9094691
"sct-kd-005","愛民宮","Aik Beng Keng",1.3471432239,103.7400396
"sct-kd-006","安濟圣王廟","Ang Chee Sia Ong Temple",1.3115820576,103.7604811
"sct-kd-007","安仁宮","An'ren Gong",1.3537461608,103.8801987
"sct-kd-008","安山廟","Ann San Temple",1.3684442755,103.8698635
"sct-kd-009","巴利萊佛堂","Palelai Buddhist Temple",1.3312340919,103.9462035
"sct-kd-010","八巃元帅殿","Pak Leng Guard Seow Tian",1.3915072948,103.7427464
"sct-kd-011","巴耶利峇聯合廟","Paya Lebar United Temple",1.3285256234,103.8910198
"sct-kd-012","半港天后宮","Kampong Tengah Thian Hou Keng",1.3891390825,103.9070585
"sct-kd-013","榜鵝聯合廟","Punggol Joint Temple",1.3922828822,103.9155122
"sct-kd-014","保安宮","Poh Ann Keng",1.3680963169,103.9278143
"sct-kd-015","保赤宮","Po Chiak Keng",1.2892911473,103.842856
"sct-kd-016","報德善堂","Poh Teck Siang Tng",1.3655899262,103.895558
"sct-kd-017","包公廟","Bao Gong Temple",1.3917369177,103.8724253
"sct-kd-018","寶光佛堂","Pao Kwan Foh TangTp",1.3518675418,103.8365527
"sct-kd-019","保生廟","Baosheng Miao",1.371625702,103.8577361
"sct-kd-020","寶興壇","Baoxing Tan",1.3346245335,103.9137776
"sct-kd-021","北辰宮","Beichen Gong",1.3136897147,103.8859907
"sct-kd-022","北海社","Pei Hai Seventh Moon Scoiety",1.331889262,103.9483321
"sct-kd-023","北蓮壇","Beilian Tan",1.2811555848,103.8272665
"sct-kd-024","北南壇","Pak Nam Temple",1.3383868804,103.9232336
"sct-kd-025","北善壇","Beishan Tan",1.3501549456,103.7003471
"sct-kd-026","本元虛靈山總道堂","Poon Guan Hui Leng Sun Chong Tao Tong",1.3402840967,103.7570984
