FID,OID_,Name,Official_N,X,Y,Address,Postal_Cod,Country,Un_Visited,Date_Visit,HDB,United_Tem
0,1,Ci Shan Tan,Ci Shan Tan,103.7033405,1.3474001,12 Jurong West Street 76,648349,Singapore, , , ,United Temple
1,2,Fu An Miao,Fuan Miao,103.7035497,1.3474779,12 Jurong West Street 76,648349,Singapore,Visited, , ,United Temple
2,3,Yu Huang Dian,Yu Huang Dian,103.7031983,1.3476227,12 Jurong West Street 76,648349,Singapore,Visited, , ,United Temple
3,4,Yu Huang Dian Lianhegong, ,103.7034317,1.3477031,13 Jurong West Street 76,648349,Singapore,Visited, , ,United Temple
4,5,Dou Tian Gong,Dou Tian Gong Temple,103.703694,1.346909,2 Jurong West Street 76,648370,Singapore,Visited, , ,United Temple
5,6,Sheng Long Miao,Sheng Leng Temple,103.7199173,1.3493957,60 Jurong West Street 41,649407,Singapore, , , ,United Temple
6,7,Xian Long Gong,Xian Long Gong,103.719979,1.3493045,60 Jurong West Street 41,649407,Singapore, , , ,United Temple
7,8,Guan Shan Dian,Guan Shan Dian,103.7241318,1.3529654,741 Jurong Wes Street 42,649369,Singapore, , , ,United Temple
8,9,Ling Jing Gong,Ling Jing Gong (Jurong Temple),103.7244671,1.3531557,"741 Jurong West Street 42, #01-01",649369,Singapore, , , ,United Temple
9,10,Long Xu Yan,Long Xu Yan,103.7242418,1.3529305,741 Jurong West Street 42,649369,Singapore,Visited, , ,United Temple
10,11,Qiong Yao Jiao Di,Qiong Yao Jiao Di Temple (Jurong Temple),103.7242364,1.3532416,"741 Jurong West Street 42, #01-01",649369,Singapore,Visited, , ,United Temple
11,12,Shui Gou Guan (Yu Lang ),Jurong Shui Gou Guan,103.7240004,1.3530136,741 Jurong West Street 42,649369,Singapore, , , ,United Temple
12,13,Xi Shan Gong,Xi Shan Gong,103.7241023,1.3532818,741 Jurong West St 42,649369,Singapore, , , ,United Temple
13,14,Yu Lang Xi Lian He Gong,Jurong West United Temple,103.7243571,1.3528983,64 Jurong West Street 41,649369,Singapore,Visited, , ,United Temple
14,15,Yu Lang Zong Gong,Jurong Combined Temple,103.7243571,1.3532067,741 Jurong West Street 42,649369,Singapore, , , ,United Temple
15,16,Gui Lin Lian He Miao,Guilin Combined Temple,103.7399791,1.3471897,397 Bukit Batok West Avenue 8,658964,Singapore,Visited, , ,United Temple
16,17,Ji Sheng Gong,Ji Sheng Gong,103.7401615,1.3470931,397 Bt Batok West Ave 8,658964,Singapore, , , ,United Temple
17,18,Jin Quan Fa Tan,Jin Quan Fa Tan,103.7399563,1.3470382,397 Bt Batok West Ave 8,658964,Singapore, , , ,United Temple
18,19,Lin Jiang Dian / Dui Shan Miao / Ai Min Gong,Lin Jiang Dian / Dui Shan Miao / Ai Min Gong/Aik Beng Keng,103.7401092,1.3469912,"397 Bukit Batok West Avenue 8, Singapore",658964,Singapore, , , , 
19,20,Long Xian Shan Gong,Long Xian Shan Gong,103.740199,1.3472312,397 Bt Batok West Ave 8,658964,Singapore, , , ,United Temple
20,21,Shi Zhu Miao,Shi Zhu Miao,103.7400314,1.3472688,397 Bt Batok West Ave 8,658964,Singapore, , , ,United Temple
21,22,Qi Shen Gong,Chee Seng Temple,103.7425548,1.3915287,17 Choa Chu Kang Street 51,689337,Singapore,Visited, , ,United Temple
22,23,Guan Yun Dian,Guan Yun Dian,103.7430855,1.3918035,19 Choa Chu Kang Street 51,689342,Singapore,Visited, , ,United Temple
23,24,Long Lian Hua Shan Gong,Dragon Lotus Hill Temple,103.7426861,1.3919208,5 Choa Chu Kang Street 51,689339,Singapore,Visited, , ,United Temple
24,25,Guan Di Miao,Kuan Ti Temple,103.7424189,1.39157,15 Choa Chu Kang Street 51,689336,Singapore,Visited, , ,United Temple
25,26,Yu Du An,Yi Do An Chinese Temple,103.7428093,1.3918903,7 Choa Chu Kang Street 51,689340,Singapore,Visited, , ,United Temple
26,27,Cai Cuo Kang You Chi Cun Lianhemiao,Choa Chu Kang Yew Tee Chun Lian He Miow,103.7429412,1.3918593,3 Choa Chu Kang Street 51,689338,Singapore,Visited, , ,United Temple
27,28,Wu Fu Miao,Wu Fu Miao,103.7425415,1.3919612,3 Choa Chu Kang Street 51,689338,Singapore,Visited, , ,United Temple
28,29,Shan Xing Tang,Shan Xing Tang,103.7430427,1.3915766,13 Choa Chu Kang Street 51,689335,Singapore,Visited, , ,United Temple
29,30,Shun Long Gong,Soon Leng Temple,103.7429891,1.3914506,5A Choa Chu Kang Street 51,689339,Singapore,Visited, , ,United Temple
30,31,Shun Long Miao,Soon Leng Temple,103.7430802,1.3917134,9 Choa Chu Kang Street 51,689341,Singapore,Visited, , ,United Temple
31,32,Ba Long Yuan Shuai Dian,Ba Long Yuan Shuai Dian / Pak Leng Guard Seow Tian,103.742698,1.3914868,11 Choa Chu Kang Street 51,689334,Singapore,Visited, , , 
32,33,Cai Cuo Gang Lian Sheng Dian, ,103.7424781,1.3917737,11 Choa Chu Kang Street 51,689334,Singapore, , , ,United Temple
33,34,Guan Yun Dian,Kuan Yun Tian,103.7428777,1.3914573,11 Choa Chu Kang Street 51,689334,Singapore,Visited, , ,United Temple
34,35,Cheng Huang Miao Wan Shou Si (Yang Tao Yuan ),Sheng Hong Temple Wan Shou Si (Yang Tao Yuan),103.7504055,1.3210772,300 Pandan Gardens,609341,Singapore, , , ,United Temple
35,36,Cheng Huang Miao (Yang Tao Yuan ), ,103.7505946,1.321041,300 Pandan Gardens,609341,Singapore, , , ,United Temple
36,37,Yang Tao Yuan Cheng Huang Miao, ,103.7508333,1.320982,300 Pandan Gardens,609341,Singapore,Visited, , ,United Temple
37,38,Wu Lei Gong,Wu Lui Sien Sze Temple,103.7509307,1.3463798,6 Bukit Batok Street 21,659630,Singapore,Visited, , ,United Temple
38,39,Wu Lei Gong Dong Tian Gong, ,103.7512324,1.3463825,6 Bukit Batok Street 21,659630,Singapore,Visited, , ,United Temple
39,40,Da Bo Gong Miao (Yun Nan),Hoon Lam Tua Peh Kong Temple,103.7512287,1.3461912,10 Bukit Batok Street 21,659632,Singapore,Visited, , ,United Temple
