NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"1043",BOAT QUAY CAFE & RESTAURANT,勿基餐舘,Boat Quay,"3",Eating House,NA,NA,"1942",NA,P. M. Abu Baker S/O Pitchay Gani,,,,"79",103.851250600000000,1.285635917000000
"13658",WALDORF ASTORIA CAFE & RESTAURANT,歪羅亞杜里酒店,Boat Quay,3-A,Eating House,NA,NA,"1942",NA,Mohamed Kassim S/O Ahnadsah,,,,"1080",103.851250600000000,1.285635917000000
"10167",SCIENTIFIC HAIR DRESSING SALOON,沙英弟菲理髮店,Boat Quay,"4",Barbers,NA,NA,NA,NA,Tauna Kathirvaloo,,,,"793",103.851250600000000,1.285635917000000
"3740",HAN HONG,漢豐號,Boat Quay,"6",Commission Agents,NA,NA,"1946",NA,Quek Lim Hong,郭霖豐,,,"277",103.851250600000000,1.285635917000000
"10440",SENG SOON & COMPANY,成順公司,Boat Quay,"6","Estate and Hardware Suppliers, Shipchandlers, Etc","6844",NA,"1941",NA,Koh Hood Poh,成德公司,,,"814",103.851250600000000,1.285635917000000
"13349",UNITED CLEARING FORWARDING AGENCY,友聯起落貨公司,Boat Quay,"7",Cargo Clearing and Forwarding,NA,NA,"1947",NA,Francis Kenneth Cockcroft,,,,"1050",103.851250600000000,1.285635917000000
"4568",HONG SOON CHOE CHOO LTD.,,Boat Quay,No. 9,Real Estate,NA,NA,"1913","$35,000",Tan Soo Jin,,,,"336",103.851250600000000,1.285635917000000
"5987","KIM SENG LAND CO., LTD.",金成島有限公司,Boat Quay,No. 9,Real Estate,"6140",NA,"1911","$60,080",Directors: Tan Soo Jin,,,,"450",103.851250600000000,1.285635917000000
"5910",KIM HOCK GUAN ENG KEE,金福源永記,Boat Quay,"10","Rubber Dealers, Commission Agents, General Importers and Exporters","4469",NA,"1945",NA,Tay Eng Sim,,,,"445",103.851250600000000,1.285635917000000
"10320",SENG HOA (MALAYA) TRADING COMPANY,成華（馬來亞）貿易公司,Boat Quay,"10",Importers and Exporters and General Commission Agents,"4469",NA,"1948",NA,Chee Seng & Co. (Malaya) Ltd.,志成（馬來亞）有限公司,,,"805",103.851250600000000,1.285635917000000
"4043",HIAP THYE & COMPANY,協泰公司,Boat Quay,"11","General Merchants, Manufacturers’ Representative Importers and Exporters, Produce Merchants","6743",“HPTYE”,"1946",NA,Soh Bong Wah,,,,"299",103.851250600000000,1.285635917000000
"5806",KIAN THYE & CO.,建泰公司,Boat Quay,"11","General Merchants, Manufarturers' Representatives, Importers and Exporters, Produce Merchants","6743","""9621.""","1946",NA,Soh Bong Wah,蘇夢華,,,"437",103.851250600000000,1.285635917000000
"6797",LAU HAN PEOW,劉漢標,Boat Quay,"11",Importer & Exporter & Commission Agents,NA,NA,"1947",NA,Lau Han Peow,劉漢標,,,"513",103.851250600000000,1.285635917000000
"8723",NAM KEE & CO.,南記公司,Boat Quay,"11","Importers, Exporters and Shipping Agents",NA,NA,"1945",NA,Loh Kay,羅溪,,,"667",103.851250600000000,1.285635917000000
"12662",THAI NAN & CO.,泰南公司,Boat Quay,"11",Importers and Exporters,NA,NA,"1941",NA,Lee Tong,李桐,,,"994",103.851250600000000,1.285635917000000
"478",APPAN & CO.,,Boat Quay,"15",Charterers and Merchants,NA,NA,"1945",NA,Tiruchittambalam Vellayappan,,,,"41",103.851250600000000,1.285635917000000
"4421",HOE HIN & CO.,和興公司,Boat Quay,"15",Importers and Exporters,3094 and 6217,“HOHINPROCO”,"1946",NA,Goh Woon Nam,吳恩南,,,"325",103.851250600000000,1.285635917000000
"993",BIAN GUAN TRADING CO.,聯源貿易公司,Boat Quay,"16","Importers and Exporters, General Merchants and Commission Agents",82140 & 2703,NA,"1947",NA,Ho Tin Swee,何津水,,,"76",103.851250600000000,1.285635917000000
"2062",CHONG NAN HUNG,中商行,Boat Quay,"16","Importers, Exporters and Commission Agents",NA,NA,"1945",NA,Chew Kheng Wah,周卿行,,,"147",103.851250600000000,1.285635917000000
"13155",TONG SENG HIN & CO.,同成興公司,Boat Quay,"16",Sags Flour Merchants,NA,NA,"1918",NA,Tan Khai Kee,陳開基,,,"1033",103.851250600000000,1.285635917000000
"5865",KIM BIAN SENG,金錦成,Boat Quay,"22","Importers, Exporters and Commission Agents","80758",NA,"1947",NA,Tan Bian Oon,陳綿允,,,"441",103.851250600000000,1.285635917000000
"1416",CHEE SENG & CO.,志成公司,Boat Quay,"23","Importers, Exporters and General Merchants","4250",NA,"1947",NA,Goh Yong Pung,吳永邦,,,"104",103.851250600000000,1.285635917000000
"12745",THONG HENG & CO.,通興公司,Boat Quay,"24","Importers and Exporters, Rubber and Commission Agents","83368",NA,"1948",NA,Heng Pang Kiat,王邦傑,,,"1000",103.851250600000000,1.285635917000000
"5169",JOHORE TRADING CO.,柔佛貿易公司,Boat Quay,"25","Importer, Exporter, General Commission Agent",NA,NA,"1947",NA,Teo Khye Swee,,,,"384",103.851250600000000,1.285635917000000
"6721",LAM HIN RUBBER COMPANY LIMITED,南興樹膠有限公司,Boat Quay,"25",Rubber Merchants,7418 & 83529,NA,"1946","$300,000",Directors: Lee Wee Teow,李為朝,,,"508",103.851250600000000,1.285635917000000
"2936",ENG TECK COMPANY,榮德公司,Boat Quay,"27",Importers and Exporters,"83415",NA,"1947",NA,Tan Kim Tian,陳金田,,,"210",103.851250600000000,1.285635917000000
"3827",CHOP HEAP ENG HOCK,協榮福,Boat Quay,"29","Importer, Exporter and Commission Agents","3468",NA,"1948",NA,Ng Koon Yeok,黃坤約,,,"284",103.851250600000000,1.285635917000000
"3829",CHOP HEAP ENG SENG,協榮成,Boat Quay,"29","Importer, Exporter, Shipping and Commission Agents","3468",NA,"1944",NA,Seet Kim Sye,薛金獅,,,"284",103.851250600000000,1.285635917000000
"6732",LAM KEE & CO.,南記公司,Boat Quay,"29",Importers and Exporters,NA,NA,"1945",NA,See Kim Sye,薛金獅,,,"508",103.851250600000000,1.285635917000000
"7166",LIAN HO LIGHTERS CO.,聯和運輸公司,Boat Quay,"29",Lighterage,"83526",NA,"1946",NA,Chua Bio Leng,蔡懋領,,,"540",103.851250600000000,1.285635917000000
"4000",HIAP LEE & CO.,協利公司,Boat Quay,"30","Importer, Exporter, Commission Agent and Rubber Dealer","2512",NA,"1948",NA,Lim Choon Lay,林存禮,,,"296",103.851250600000000,1.285635917000000
"14532",HIAP LEE & CO.,協利公司,Boat Quay,"30","Importers, Exporters, Commission Agents and Rubber Dealers","2512",NA,"1924",NA,Lim Choon Lay,林存禮,,,"1155",103.851250600000000,1.285635917000000
"838",BAN TEK AN & CO.,萬德安公司,Boat Quay,"31",Importers and Exporters,"3679",NA,"1946",NA,Koh Siew Hoey,許受惠,,,"65",103.851250600000000,1.285635917000000
"1752",CHIAP LEE SHIPPING CO.,捷利船務公司,Boat Quay,"31",Shipping Agents,NA,NA,"1947",NA,Kho Siow Bin,許受敏,,,"128",103.851250600000000,1.285635917000000
"11393",SO LAM TRADING,蘇南貿易,Boat Quay,"31",Imports and Exports Merchants,NA,NA,"1948",NA,Aw Moo Min,歐莫明,,,"890",103.851250600000000,1.285635917000000
"12458",TECK CHIANG HUNG,德昌行,Boat Quay,"31",Importers and Exporters,NA,NA,"1946",NA,Tan Kiok Hang,陳克漢,,,"978",103.851250600000000,1.285635917000000
