NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"5003",THE INDIAN OVERSEAS BANK LTD.,印度海外銀行,Collyer Quay,No. 1,"Banking, etc.","2626",NA,"1936","R. S. 50,00,000",,,,Inc. in British India,"368",103.852679699999996,1.283567590000000
"451","THE ANGLO-SAXON PETROLEUM CO., (EASTERN) LTD.",英格魯沙遜煤治公司,Collyer Quay (Shell House),,"Transporting, Supplying and Selling Petroleum etc.","3811","""ANGSAXPET""","1945","£10,000",Local rep: Reginald Woodman Hooper,,,Inc. in England,"39",103.852679699999996,1.283567590000000
"1861","CHIN KENG LEE CO., LTD.",振慶利有限公司,Collyer Quay,"2",Auctioneers and Valuers,"2342","""AUCTIONEER.""",NA,NA,"Dato S. Q. Wong, J.P",,,,"135",103.852679699999996,1.283567590000000
"1968","CHING KENG LEE CO., LTD.",莊慶利拍賣行,Collyer Quay,"2",Auctioneers and Valuers,"2342",“AUCTIONEER.”,NA,NA,"Dato S. Q.Wong, J. P",,,,"142",103.852679699999996,1.283567590000000
"6248",KULAI SAWMILL HUP KEE,古來火鋸合記,Collyer Quay,"3",Sawmillers,NA,NA,"1947",NA,Bon Kok Moh,文國茂,,,"469",103.852679699999996,1.283567590000000
"13892",WINMORE STORE,永茂行,Collyer Quay,"3",Provisions Retailers,"6445",NA,"1947",NA,Boon Kok Moh,文國茂,,,"1099",103.852679699999996,1.283567590000000
"2638","EAST INDIES TRADING CO., LTD.",東印度貿易公司,Collyer Quay,"4",Indentors Import & Export Merchants and Commission Agents,,NA,"1930","$50,000",Richard Station Nelson,,,,"191",103.852679699999996,1.283567590000000
"3030",FARR RUBBER AGENCY LIMITED,法拉樹膠代理有限公司,Collyer Quay,4-1,"Rubber Brokers, Guarantee Brokers",NA,NA,"1936",$500,Roger Elvy Prentis,,,,"219",103.852679699999996,1.283567590000000
"8942","NASSIM & CO., LTD.",那森有限公司,Collyer Quay,4/4-1,"House, Estate, and General Agents","5319",NA,"1947","$50,000",Directors: Moses Joseph Nassim,,,,"685",103.852679699999996,1.283567590000000
"6",J. J. H. AARSEN & CO.,亞新公司,Collyer Quay,"10",Factory Representative,"7183",NA,NA,NA,Aarsen Johan Jacob Heinrich,,,,"9",103.852679699999996,1.283567590000000
"1063",BONYEAR TRADING CO.,文野貿易公司,Collyer Quay,"10",Sundries Retailers,"7161",NA,"1945",NA,Young Bonyear,楊文野,,,"80",103.852679699999996,1.283567590000000
"3543",GUAN HUAT & CO.,源發公司,Collyer Quay,"10","Importers, Exporters and Commission Agents",NA,NA,"1948",NA,Tan Siew Cheng,陳清秀,,Registered -948,"255",103.852679699999996,1.283567590000000
"5051",INTERNATIONAL TRADERS SYNDICATE,國際貿易組合,Collyer Quay,"10",Importers and Exporters,NA,NA,"1948",NA,Joseph Mendez S/O Andrew Mendez,,,,"372",103.852679699999996,1.283567590000000
"5687",KHONG & CO.,康公司,Collyer Quay,"10","Importers and Exporters, Commission Agents, Contractors",NA,NA,"1946",NA,Mah Khong,馬康,,,"428",103.852679699999996,1.283567590000000
"5690",KHONG SUPPLY & TRANSPORT CO.,聯合運輸及供應公司,Collyer Quay,"10",Supply and Transport,NA,NA,"1948",NA,Lim Tsien,林津,,,"428",103.852679699999996,1.283567590000000
"6210",KOSTER COMPANY LTD.,柯斯達有限公司,Collyer Quay,"10",General Merchants,"80637","""RETSOK""","1939","$50,000",Directors: L. J. Koster,,,,"466",103.852679699999996,1.283567590000000
"7662",LYON WATCH REPAIRER,勵文鐘錶,Collyer Quay,"10",Watch Makers,NA,NA,"1945",NA,Lum Poi Mun,林沛文,,,"578",103.852679699999996,1.283567590000000
"7801",MALAYAN COMMERCE & INDUSTRIES LTD.,馬來亞工商有限公司,Collyer Quay,"10","General Merchants, Importers and Exporters","83653",“MACOMIND.”,"1946","$50,000",Directors: Leong Kim Fook,,,,"592",103.852679699999996,1.283567590000000
"8452",MOLLERS' (MALAYA) LTD.,摩力有限公司,Collyer Quay,"10","Shipowners, General Shipping Agents",80181 & 82277,NA,"1941","$10,000",Directors: Bruce St. Clair MacKenzie,,,,"642",103.852679699999996,1.283567590000000
"8960","NATIONAL INSURANCE CO., LTD.",國民保險公司,Collyer Quay,"10",Insurance Etc,"82906",NA,"1906",Rs. 10000000,Local Rep: Sir Arnold Percy Robinson,,,Inc. In India,"686",103.852679699999996,1.283567590000000
"9829",RAFFLES STORE,萊佛士商店,Collyer Quay,"10",Embroideries Dealers,NA,NA,"1946",NA,Tan Thong Ngee,陳統儀,,,"755",103.852679699999996,1.283567590000000
"10116",SAN TRADERS,三貿易公司,Collyer Quay,"10",Import and Export Merchants. and Commission Agents,NA,NA,"1948",NA,Santhapillai Thamansamy S/O Arulanram Pillai,,,,"789",103.852679699999996,1.283567590000000
"5485",KEE PHOTO STORE,啓攝影社,"Collyer Quay, Raffles Bazaan, Stall No. 1","10",Cameras and Films Dealers,NA,NA,"1945",NA,Tong Phang Kee,黃鵬基,,,"413",103.852679699999996,1.283567590000000
"5071","ISLAY KERR & CO., LTD.",伊士力卡公司,Collyer Quay,11-A,"Shipping Agents, etc.","5455",“BISON”,"1923","$500,000",H. J. Payne,,,"Agents: P. & O. S. N. Co.
B. I. S. N. Co. Ltd.","374",103.852679699999996,1.283567590000000
"9544",PENINSULAR & ORIENTAL STEAM NAVIGATION CO.,東方輪船公司,Collyer Quay,11-A,Shipping Merchants,"5455","""PENINSULAR""","1840","£7,649,853","Local Rep: Islay Kerr Co., Ltd",,,Inc. in England by Royal Charter,"733",103.852679699999996,1.283567590000000
"9784",QUAY PROPERTIES LTD.,基資產有限公司,Collyer Quay,11-A,Real Estates and Developing Land,NA,NA,"1947","$10,000",Directors: Alexander Kirkwood Brown,,,,"751",103.852679699999996,1.283567590000000
"10585",SHELL HOUSE (SINGAPORE) LIMITED,新加坡蛤殻土油公司,Collyer Quay,"12",Property Owners,NA,NA,NA,"$2,000,000",Directors: William George Taylor,,,(The Shell CO. of S.S. Ltd.),"826",103.852679699999996,1.283567590000000
"10583",THE SHELL CO OF FEDERATED MALAY STATES LTD.,馬來聯邦蛤殼土油公司,"Collyer Quay, Shell House","12",Suppliers of Mineral Oil,"3811",NA,"1911","£150,000",Local Rep: Palmer Donald Horsley,,,Inc. In England,"826",103.852679699999996,1.283567590000000
"10584",THE SHELL CO. OF SINGAPORE LTD.,新加坡蛤殻土油公司,"Collyer Quay, Shell House","12",Suppliers of Mineral Oil,NA,NA,"1911","£750,000",Local Rep: Palmer Donald Horsley,,,Inc. In England,"826",103.852679699999996,1.283567590000000
"4532",HONG KONG CO.,香源公司,Collyer Quay,"13",Fancy Goods and Curios Dealers,NA,NA,"1946",NA,Lim Pue Kie,林培基,,,"333",103.852679699999996,1.283567590000000
"4583",HONGKONG CO. SHOE DEPT.,香港公司鞋部,Collyer Quay,"13",Selling and Servicing Shoes,"83218",NA,"1946",NA,Heng Poh Hoon,王步雲,,,"337",103.852679699999996,1.283567590000000
"8940",K. M. B. NASRUDIN BROS.,那氏愈珍兄弟公司,Collyer Quay,"13","Cigarettes, Cigars and Sundries Retailers",NA,NA,"1941",NA,Kana Moona Bacha,,,,"685",103.852679699999996,1.283567590000000
"8350",S. M. MOHAMED NATHER,摩哈默那德,Collyer Quay,14-1,Coffee Shop,NA,NA,"1942",NA,Sena Moona Mohamed Nather,,,,"634",103.852679699999996,1.283567590000000
"2438",CITY BOOK STORE LIMITED,國際書店有限公司,Collyer Quay,"16","Booksellers, Publishers, Newsagents","6657","""CITIBOOK.""","1948","$500,000",Cheng Chin Kun,,,,"170",103.852679699999996,1.283567590000000
"3197",GAMMETER & CO.,金勿打公司,Collyer Quay,"16",Importers,"2152",NA,"1909",NA,Carl Ernest Richard,,,,"232",103.852679699999996,1.283567590000000
"3421",GRAFTON LABORATORIES LTD.,古拉弗湯藥廠,Collyer Quay,20-B,Grafton Laboratories,NA,NA,"1939","$200,000",Alexander James Turnes,,,,"247",103.852679699999996,1.283567590000000
"4585",HONGKONG & SHANGHAI BANKING CORPORATION,,Collyer Quay,"21",,"5937 (Private Branch Exchange).6135 Accountant.7851 Compradore.
6135 Accountant
7851 Compradore",Telegraphic Address: “PACIFIC”,NA,NA,Singapore Office: Manager C. L. Edwards,,,"P. O. Box 896 Inc. in Hongkong. Head Office: Hongkong
London Office: 9, Gracechurch Street, E. C. 3
BOARD OF DIRECTORS
Chairman and Chief Manager: Hon. A. Morse, C. B. E
Dy. Chairman: Hon. D. F. Landale
Dy. Chairman: H. D. Benham
Dy. Chairman: C. Blaker
","337",103.852679699999996,1.283567590000000
"6200",KOON TAT & CO.,羣達公司,"Collyer Quay, Winchester House","31",General Merchants,NA,NA,"1947",NA,Chua Teng Hwee,蔡廷輝,,,"465",103.852679699999996,1.283567590000000
"1978",P. CHINNIAH,青尼亞,Collyer Quay,"35","Cigarettes, Cheroots, Sweets Dealers",NA,NA,"1947",NA,Peyna Chinniah,,,,"142",103.852679699999996,1.283567590000000
,,,,,,,,,,,,,,,103.852679699999996,1.283567590000000
"3341",GLEN LINE LTD.,吉利航務有限公司,"Boustead & Co., Ltd., Union Building (Agents)",,"Shipowners, Ship Brokers, Insurance Etc",NA,NA,"1910","£225,000",Local Rep: Walker Frank Warrack,,,Inc. in England,"242",103.852679699999996,1.283567590000000
"2351",CHUNG & WONG,南洋拍賣館,Chung & Wong of Union Building,,Architects and Civil Engineers,"3254",NA,"1925",NA,Chung Hong Woot,曾鴻活,,,"164",103.852679699999996,1.283567590000000
"9476","PATERSON SIMONS & CO., LTD.",巴智申西門有限公司,Union Budg 6th Floor,,General Merchants,"5991",NA,"1907","£400,000",General Manager: C. H. Ker Cooper,,,Inc. in England,"728",103.852647899999994,1.284661799000000
"353","ALLIANCE ASSURANCE CO., LTD.",亞連保險公司,Union Building,,Dealing in Insurance Etc.,"5991",NA,"1902","£5,000,000","Local rep. Paterson Simons & Co., Ltd.",,,Inc. in England,"32",103.852647899999994,1.284661799000000
"386",AMERICAN PRESIDENT LINES LTD.,美國總統輪船有限公司,Union Building,F4-F6,Shipping,"3821",NA,"1931","$3,680,000",Local rep: E. L. Matteson,,,Inc. in U.S.A.,"35",103.852647899999994,1.284661799000000
"973",WILLIAM J. BERNARD,威廉百納,Union Building,Room 140,Import and Export Merchants,"80425",NA,"1946",NA,William J. Bernard,,,,"74",103.852647899999994,1.284661799000000
