NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"9801",QUEK SWEE THYE,郭瑞泰,Havelock Road,1/3,"Wine Provisions Cigarettes, Coffee Etc., Dealers","6330",NA,"1922",NA,Quek Thiam Ting,郭添丁,,,"753",103.843342699999994,1.286936197000000
"3980",HIAP HOE & CO.,協和公司,Havelock Road,"5",Coffee Factory,NA,NA,"1934",NA,Ong Gim Chur,王錦座,,,"295",103.843342699999994,1.286936197000000
"12120",TAI SENG RESTAURANT,大成酒樓,Havelock Road,"7",Restaurant,"2830",NA,"1933",NA,Tan Peng Kwee,,,,"952",103.843342699999994,1.286936197000000
"11543",CHOP SOON SENG,順成油漆舗,Havelock Road,"9",Paints and Oil Dealers,"80428",NA,"1933",NA,Loo Chwee Kim,雷水金,,,"903",103.843342699999994,1.286936197000000
"1147",BUAN HUAT SENG,萬發成,Havelock Road,9-1,Sundries Retailers,NA,NA,"1941",NA,Koh Tong Huan,許重環,,,"86",103.843342699999994,1.286936197000000
"11914",CHOP SWEE HIN,瑞興號,Havelock Road,"11",Dealers and Retailers of Tyres,"80477",NA,"1935",NA,Ong Geok Lim,王玉粦,,,"933",103.843342699999994,1.286936197000000
"11675",STATE CLINIC,利興藥房,Havelock Road,"13",Dispensing,"3146",NA,"1930",NA,Low Hock Nguk,劉福玉,,,"914",103.843342699999994,1.286936197000000
"13861",WING SUN,榮新號,Havelock Road,"15",Laundry,NA,NA,"1927",NA,Bak Chee,麥池,,,"1096",103.843342699999994,1.286936197000000
"12145",TAI TIAN SIANG KEE & CO.,大天祥記公司,Havelock Road,"17",Eating House,"4234",NA,"1946",NA,Tan How Joo,陳浩如,,,"954",103.843342699999994,1.286936197000000
"7855",MALAYAN WEIGHING MACHINE CO.,馬來亞磅公司,Havelock Road,"19","Dealers & Repairers of Scales, Safes, Lawn Movers, & Light Machinery","82107",NA,"1937",NA,Tan Ah Soo,陳亞蘇,,,"597",103.843342699999994,1.286936197000000
"10721",CHOP SIM JOO MOH,沈如茂,Havelock Road,"19",Liquor Shop,NA,NA,"1909",NA,Sim Miang Seng,沈綿勝,,,"836",103.843342699999994,1.286936197000000
"4399",HOCK TONG HEN,福同興,Havelock Road,"21",Eating House,NA,NA,"1932",NA,Tan Chew Teck,陳昭德,,,"324",103.843342699999994,1.286936197000000
"14469",YUH FOH PAWNSHOP,永和當,Havelock Road,"27",Pawnshop,"2150",NA,"1945",NA,Wong Ying Sieng,黃美煊,,,"1143",103.843342699999994,1.286936197000000
"3473",CHOP GUAN CHOON,源春號,Havelock Road,"29","Bottles, Tins, Gunny Bags Merchants",,NA,"1935",NA,Chua Theck (M. W.),蔡賜,,,"251",103.843342699999994,1.286936197000000
"2324",CHOP CHUAN THYE,泉泰號,Havelock Road,"34","Glass-Bottles, Second-Hand Dealers",NA,NA,"1948",NA,Chng Chai Lian,莊彩蓮,,,"163",103.843342699999994,1.286936197000000
"10509",P. G. SHAIK KADER,沙吉打,Havelock Road,"35",General Merchants,NA,NA,"1948",NA,P. G. Shaik Kader S/O Pramsha Godmomia,,,,"819",103.843342699999994,1.286936197000000
"10789",SIN CHOON LIM,新春林,Havelock Road,"36",Timber Merchants,"3095",NA,"1939",NA,Tan Chwee Hock,陳水福,,,"842",103.843342699999994,1.286936197000000
"2235",CHUAN BEE & CO.,泉美公司,Havelock Road,"37",Gunny Bags Kerosene Tins and Empty Bottles Dealers,"82011",NA,"1937",NA,Ng Siew Chuan,黃守全,,,"157",103.843342699999994,1.286936197000000
"3846",HEAP LEE CO.,協利公司,Havelock Road,"39",Provisions Retailers,NA,NA,"1941",NA,Ong Boon Cheng,王文貞,,,"285",103.843342699999994,1.286936197000000
"12097",TAI NAM ING KEE,大南仁記,Havelock Road,"41",Coffee Shop,NA,NA,"1945",NA,Wong Ing Kieng,黃珍謙,,,"950",103.843342699999994,1.286936197000000
"5213",CHOP JOO HENG,裕興號,Havelock Road,"43",Bicycle Repairs,NA,NA,"1936",NA,Directors: Seah Chiew Kim,佘秋金,,,"387",103.843342699999994,1.286936197000000
"8326",N. E. MOHAMED KASSIM,摩哈默巧森公司,Havelock Road,"45",Provisions and Sundries Retailers,NA,NA,"1936",NA,N. E. Mohamed Kassim,,,,"632",103.843342699999994,1.286936197000000
"661",BAN CHOON TONG,萬春堂,Havelock Road,"47",Chinese Drugs and Medicines,NA,NA,"1912",NA,Foo Pu Hwa,胡步華,,,"54",103.843342699999994,1.286936197000000
"5619",KHENG KWONG,瓊光號,Havelock Road,"49",Eating House,NA,NA,"1946",NA,Wang Kok Fan,王國藩,,,"423",103.843342699999994,1.286936197000000
"2813",ENG GUAN,榮源號,Havelock Road,"51",Wine Merchants & Exchange Agents,"4470",NA,"1922",NA,Ng Chek Hock,黃則福,,,"203",103.843342699999994,1.286936197000000
"11173",SING HIN & CO.,信興公司,Havelock Road,"55",Cycle Accessories Dealers and Repairers,"82972",NA,"1934",NA,Ng Boon Ling,黃文林,,,"870",103.843342699999994,1.286936197000000
"12840",THYE SENG,泰成號,Havelock Road,"63",Gold and Silversmith,NA,NA,"1937",NA,Koh Choon Yik,許春乙,,,"1008",103.843342699999994,1.286936197000000
"14700",TONG SENG & CO.,固成公司,Havelock Road,"65",Paint and White Lime Dealers,"7129",NA,"1929",NA,Koh Luck Tian,許六天,,,"1170",103.843342699999994,1.286936197000000
"6099",KOK WAH,國華號,Havelock Road,"67",Dealers and Repairers of Watches and Clocks,NA,NA,"1946",NA,Leung Kok Kah,梁國華,,,"458",103.843342699999994,1.286936197000000
"10134",SANG SENG WATCH MAKER.,生盛號,Havelock Road,"67",Watch Dealers and Repairers,NA,NA,"1948",NA,Wong Leong Sang,黃量生,,,"790",103.843342699999994,1.286936197000000
"4662",CHOP HUA HUAT,和發號,Havelock Road,"69",Eating House,NA,NA,"1939",NA,Seah Choo Pung,謝珠盤,,,"343",103.843342699999994,1.286936197000000
"4566",CHOP HONG SING,豐盛號,Havelock Road,"71",Watch and Gramophone Repairers,NA,NA,"1948",NA,Cheah Hong,謝鴻,,,"335",103.843342699999994,1.286936197000000
