X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8434617,1.28846977,13267,TUNG NGI COFFEE SHOP,同宜茶室,Angus Street,16 & 17,Coffee Shop,NA,NA,1947,NA,Ang Mow Ping,洪茂彬,,,1041,
103.8435096,1.288519012,8872,CHOP NAN KEE,南記,Angus Street,18,Sundries Retailers,NA,NA,1946,NA,Ho Koh Eng,何國寅,,,679,
103.8436161,1.288653429,1756,CHIAP SOON HENG,洽順與,Angus Street,23,Contractors,NA,NA,1929,NA,Koh Chiap Ngee,許洽宜,,,128,
103.843676,1.288722634,8794,NAM SIANG CO.,南祥公司,Angus Street,24,General Produce Merchants,NA,NA,1948,NA,Ng See Hiok,黃詩郁,,,673,
103.8518133,1.283652721,11715,STRICKLAND & CO.,實力島公司,Arcade,71,Broking and General Trading,6262,“STRIK”,1925,NA,Gordon Francis Strickland,,,,917,
103.8518133,1.283652721,1121,BRITISH LIGHTERAGE CO.,英國駁船業公司,Arcade Building,57,Lighterage and Contracting,6200,NA,1945,NA,Nalliah Karuppiah,,,,84,
103.8518133,1.283652721,5018,INDONESIAN TRADING SOCIETY,印尼貿易合社,Arcade Building,27,"General Merchants, Commission Agents, Importers and Exporters",NA,NA,1947,NA,Abdul Raham Bin Ahmad,,,,370,
103.8518133,1.283652721,8419,MOHAN BROS.,摩漢兄弟公司,Arcade Building,27,"Importers, Exporters and Commission Agents",NA,NA,1948,NA,Mangal Singh S/O Gian Singh,,,,640,
103.8518133,1.283652721,4940,HYGENIC HAIR DRESSING SALOON,衛生理髮室,Arcade Road,14,Hair Dressing,NA,NA,1941,NA,Narayamasamy S/O R. Packirisamy,,,,363,
103.8517751,1.283779343,543,ASIATIC INTERNATIONAL TRADING CO.,亞洲國際貿易公司,"Arcade, Raffles Place",20,"Importers, Exporters and Shippers",83743,"""VOLGA"" Singapore",NA,NA,Sant Ram Singh Esq,,,Post Box No. 1287,45,
103.8518133,1.283652721,126,P. M. S. ABDUL RAZAK,亞都拉查,The Arcade,13,Newsagents and Booksellers,NA,NA,1946,NA,P. M. S. Abdul Razak,,,,17,
103.8518133,1.283652721,225,AH HONG & CO.,余洪記,The Arcade,49,Building Contractors,6287,NA,1939,NA,Yu Soong Kwei,余松奎,,,24,
103.8518133,1.283652721,267,AHONG CONSTRUCTION CO.,亞豐建築公司,The Arcade,49,Civil Engineering and General Contracting,NA,NA,1948,NA,Wong Chow Dow,王秋濤,,,26,
103.8518133,1.283652721,344,ALKAFF & CO.,亞拉卡夫,The Arcade,70,Real Estate Agents,6877,NA,1910,NA,Syed Abdulrahman bin Shaik Alkaff,,,,31,
103.8518133,1.283652721,345,ALKAFFF REALTY LIMITED,亞拉卡產業公司,The Arcade,No. 70,Real Estate,6877,NA,1935,"$2,365,000",Syed Mohamed Bin,,,,31,
103.8518133,1.283652721,389,AMERICAN TRANSPORT CO.,美國轉運公司,The Arcade,57,Contracting and Lighterage,NA,NA,1947,NA,Mana Ramasamy S/O Nalliah,,,,35,
